OJ H,CC H,PP H,GF H,BC H,OJ gLMS,CC gLMS,PP gLMS,GF gLMS,BC gLMS
5,8,6,4,4,41,17,-1,-12,-54
6,6,8,1,2,71,97,6,-48,-50
6,8,9,1,3,-6,44,58,-24,4
7,9,7,5,4,74,65,3,-33,-45
9,9,9,3,1,50,20,-27,25,-39
8,6,5,2,4,23,63,7,-36,22
5,6,7,4,5,7,30,5,12,7
6,6,8,1,3,88,50,22,34,-8
6,5,7,3,6,77,18,-25,-38,17
4,9,4,4,1,31,-33,14,-35,-10
7,8,7,4,1,39,-4,41,-14,-71
4,8,6,5,2,1,56,7,-22,-52
7,7,9,4,4,51,36,35,-38,-3
6,8,9,5,3,-8,-16,-24,-37,-8
6,7,6,3,2,75,29,28,-46,-18
8,8,8,1,2,37,42,13,-9,-15
6,6,7,3,3,33,21,6,-48,1
5,7,4,4,4,71,2,-16,-19,-6
6,5,7,5,1,59,87,30,-13,-19
5,7,8,5,2,41,25,63,-31,-56
9,6,6,3,1,74,-2,11,4,-26
8,6,9,2,2,56,-4,24,-12,43
5,7,6,5,1,61,29,-18,-16,-25
7,8,7,4,3,44,11,10,-26,-38
7,7,8,5,3,39,-7,-12,-4,11
4,7,6,5,3,32,62,-49,3,-8
5,9,3,1,1,54,29,-3,-43,-15
9,4,6,5,4,46,38,42,-47,-53
7,4,9,1,2,71,69,33,-43,1
7,6,6,4,5,50,14,55,-41,-92
4,6,5,5,4,37,74,29,-27,-41
8,5,9,4,4,-21,-4,13,-14,10
7,6,4,4,3,24,-32,-42,-24,-37
8,6,6,5,3,7,9,-1,-25,30
8,9,6,5,3,67,13,41,-55,-11
6,5,6,3,1,43,34,28,33,-32
8,7,8,1,4,21,19,39,-3,-2
8,8,9,1,4,8,32,6,-5,2
7,9,7,6,2,22,39,0,17,-13
6,7,8,1,2,48,23,34,-42,-23